"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Product rating count (product.metafields.reviews.rating_count)","Accessory size (product.metafields.shopify.accessory-size)","Animal type (product.metafields.shopify.animal-type)","Care instructions (product.metafields.shopify.care-instructions)","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Pet control accessory features (product.metafields.shopify.pet-control-accessory-features)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"the-bertie-dog-collar","The Bertie Dog Collar","<p><meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""></p>
<style>
        body {
            font-family: Arial, sans-serif;
            line-height: 1.6;
            color: #333;
            max-width: 800px;
            margin: 20px auto;
            padding: 20px;
        }
        h1, h2 {
            color: #444;
        }
        ul {
            list-style: disc;
            margin-left: 20px;
        }
        a {
            color: #0073e6;
            text-decoration: none;
        }
        a:hover {
            text-decoration: underline;
        }
    </style>
<h1 style=""text-align: center;"">The Bertie Dog Collar – Durable, Stylish, and Secure for Your Dog’s ID Tags</h1>
<p style=""text-align: center;"">The <strong>Bertie Dog Collar</strong> is a must-have accessory for dog owners who want a reliable and stylish collar to hold their dog’s ID tags. Designed specifically for displaying your dog’s important identification information, this collar features a <strong>sprung O-ring fastening</strong> that makes it easy to put on and take off. It’s customisable with your choice of colour and metal hardware, so you can make it as unique as your dog. Crafted from <strong>abrasion-resistant, water and bacteria-resistant webbing</strong>, this collar is not only durable but also easy to clean. The <strong>zero stretch webbing</strong> ensures it stays secure, while the <strong>wipeable surface</strong> makes it easy to maintain. The <strong>Bertie Dog Collar</strong> is available in a <strong>custom size</strong> to ensure the perfect fit for your dog.</p>
<h2 style=""text-align: center;"">Why You’ll Love The Bertie Dog Collar</h2>
<ul>
<li>
<strong>Sprung O-Ring Fastening</strong> – Allows for easy on and off, making it convenient for everyday use and perfect for dogs who don’t like collars put on over their heads.</li>
<li>
<strong>Customisable Colour &amp; Metal Hardware</strong> – Choose from a variety of colours and metal hardware options to create a collar that suits your dog’s personality.</li>
<li>
<strong>Abrasion-Resistant Webbing</strong> – Built to last, even in the toughest conditions, ensuring the collar remains strong and secure through all adventures.</li>
<li>
<strong>Water &amp; Bacteria-Resistant Webbing</strong> – Ideal for dogs who enjoy water activities or who live in wet climates, this collar resists bacteria and won’t absorb moisture.</li>
<li>
<strong>Zero Stretch Webbing &amp; Wipeable Surface</strong> – Ensures the collar fits snugly and comfortably, while the wipeable surface makes maintenance a breeze.</li>
</ul>
<h2 style=""text-align: center;"">Who Is It For &amp; How to Use</h2>
<p style=""text-align: center;"">The <strong>Bertie Dog Collar</strong> is designed for dog owners who need a collar specifically for holding <strong>ID tags</strong>. Whether you need to display your dog’s name, contact information, or other important details, this collar ensures that your dog’s identification is always visible. Please note that this collar is <strong>not made for attaching a lead</strong> in any way – it is intended solely for your dog’s ID tags.</p>
<p style=""text-align: center;"">For the best fit, we recommend visiting our <a rel=""noopener"" title=""Materials and Measurements Guide"" href=""https://www.willabean.co.uk/pages/measurement-guide"" target=""_blank"">Materials and Measurements Guide</a>, which will provide you with detailed instructions on how to properly measure your dog’s neck to ensure a comfortable and secure fit.</p>
<p style=""text-align: center;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Please note:</strong> While our gear is tough, it’s not chew-proof! If your pup turns their collar or lead into a snack, we unfortunately can’t be held responsible.</span></p>","My Store","Animals & Pet Supplies > Pet Supplies > Pet Apparel > Pet Collars & Ties","","Bertie, Collar, Solid Colour","true","Width","16mm","","","","","","","","","0.0","shopify","-1","continue","manual","15.00","","TRUE","TRUE","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/10_7f5506b9-f778-4a0b-be87-aa7c76b58365.png?v=1760929825","1","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","false","","The Bertie Dog Collar is a durable, customisable tag collar with easy O-ring fastening, water-resistant webbing, and secure ID tag display. Perfect for your dog!","6250","","","","","","","","","","","","","","","","","","","","lb","","","active"
"the-bertie-dog-collar","","","","","","","","Width","20mm","","","","","","","","","","shopify","","continue","manual","19.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-bertie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Bertiecollarunhook.jpg?v=1760892491","2","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-bertie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Bertiecollarclasp.jpg?v=1760892491","3","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-hugo-dog-collar","The Hugo Dog Collar","<p><meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""></p>
<style>
        body {
            font-family: Arial, sans-serif;
            line-height: 1.6;
            color: #333;
            max-width: 800px;
            margin: 20px auto;
            padding: 20px;
        }
        h1, h2 {
            color: #444;
        }
        ul {
            list-style: disc;
            margin-left: 20px;
        }
        a {
            color: #0073e6;
            text-decoration: none;
        }
        a:hover {
            text-decoration: underline;
        }
    </style>
<h1 style=""text-align: center;"">The Hugo Dog Collar – Sleek, Strong &amp; Adventure-Ready</h1>
<p style=""text-align: center;"">For dog owners who value <strong>simplicity, durability, and practicality</strong>, the <strong>Hugo Dog Collar</strong> is the perfect everyday essential. With a <strong>clean, minimal design</strong> and available in <strong>a colour of your choice</strong>, this collar offers both <strong>style and performance</strong>. Crafted from <strong>abrasion-resistant, zero-stretch PVC-coated webbing</strong>, it is <strong>100% water and bacteria resistant</strong>, making it the ideal choice for dogs who love to explore. The <strong>strong metal buckle</strong> provides a <strong>secure fastening</strong>, while the <strong>back D-ring</strong> offers a <strong>reliable attachment point for your lead and ID tags</strong>. Available in <strong>two widths and custom sizing</strong>, the <strong>Hugo Dog Collar</strong> is designed to suit dogs of all breeds and sizes.</p>
<h2 style=""text-align: center;"">Why You’ll Love The Hugo Dog Collar</h2>
<ul>
<li>
<strong>Custom Colour Choice</strong> – Pick your favourite shade to match your dog’s personality and style.</li>
<li>
<strong>Strong Metal Buckle</strong> – Ensures a <strong>secure and easy-to-use fastening</strong>, keeping your dog safe during walks.</li>
<li>
<strong>Abrasion-Resistant, Zero-Stretch PVC-Coated Webbing</strong> – Built to last, this collar holds its shape and withstands daily wear and tear.</li>
<li>
<strong>100% Water &amp; Bacteria Resistant PVC-Coated Webbing</strong> – Perfect for active dogs, this collar stays <strong>clean, odour-free, and fresh</strong> no matter the weather.</li>
<li>
<strong>Custom Fit with Two Width Options</strong> – Choose from <strong>narrow or wide widths</strong> for the perfect combination of comfort and strength.</li>
</ul>
<h2 style=""text-align: center;"">Who Is It For &amp; How to Use</h2>
<p style=""text-align: center;"">The <strong>Hugo Dog Collar</strong> is ideal for <strong>dog owners looking for a durable, waterproof, and stylish collar</strong> that provides <strong>a secure attachment for leads and ID tags</strong>. Whether your dog is a city walker or a countryside explorer, this collar is built to handle <strong>any adventure</strong> while maintaining a <strong>sleek and comfortable fit</strong>. Simply attach your lead to the <strong>back D-ring</strong> for safe and controlled walks and add an <strong>ID tag</strong> to ensure your dog is identifiable if they ever get lost.</p>
<p style=""text-align: center;"">For the perfect fit, check out our <a rel=""noopener"" title=""Materials and Measurements Guide"" href=""https://www.willabean.co.uk/pages/measurement-guide"" target=""_blank"">Materials and Measurements Guide</a> to learn how to measure your dog’s neck before ordering.</p>
<p style=""text-align: center;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Please note:</strong> While our gear is tough, it’s not chew-proof! If your pup turns their collar or lead into a snack, we unfortunately can’t be held responsible.</span></p>","My Store","Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses","","Collar, D Ring, Hugo, Solid Colour","true","Width","16mm","","Fastening","Buckle","","","","","","0.0","shopify","-1","continue","manual","15.00","","TRUE","TRUE","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/12_f024c9f7-7806-419b-929c-c1ff488c7a5b.png?v=1760929825","1","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","false","","The Hugo Dog Collar – durable, waterproof, and stylish. Custom colour, secure metal buckle, and two width options for the perfect fit. Built for adventure!","6250","","","","","","","","","","","","","","","","","","","","lb","","","active"
"the-hugo-dog-collar","","","","","","","","Width","16mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","16.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-hugo-dog-collar","","","","","","","","Width","20mm","","Fastening","Buckle","","","","","","","shopify","","continue","manual","19.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-hugo-dog-collar","","","","","","","","Width","20mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","20.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-hugo-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Hugocollars.jpg?v=1760892393","2","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-hugo-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Hugopurple.jpg?v=1760892393","3","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
